Sample	Top over-represented sequence	Sum of remaining over-represented sequences
AOJ447_pass_17d80546_8c1c4ab7_72	0.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_73	0.2	0.2
AOJ447_pass_17d80546_8c1c4ab7_74	0.4	1.1999999999999997
AOJ447_pass_17d80546_8c1c4ab7_75	0.2	0.0
AOJ447_pass_17d80546_8c1c4ab7_76	0.2	0.4000000000000001
AOJ447_pass_17d80546_8c1c4ab7_77	0.2	0.2
AOJ447_pass_17d80546_8c1c4ab7_78	0.2	0.4000000000000001
AOJ447_pass_17d80546_8c1c4ab7_79	0.2	0.0
AOJ447_pass_17d80546_8c1c4ab7_8	0.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_80	0.2	0.2
AOJ447_pass_17d80546_8c1c4ab7_81	0.2	0.0
AOJ447_pass_17d80546_8c1c4ab7_82	0.2	0.4000000000000001
AOJ447_pass_17d80546_8c1c4ab7_83	0.2	0.2
AOJ447_pass_17d80546_8c1c4ab7_84	0.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_85	0.3	0.2
AOJ447_pass_17d80546_8c1c4ab7_86	0.2	0.6000000000000001
AOJ447_pass_17d80546_8c1c4ab7_87	0.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_88	0.2	0.2
AOJ447_pass_17d80546_8c1c4ab7_89	0.3	0.0
AOJ447_pass_17d80546_8c1c4ab7_9	0.2	0.2
AOJ447_pass_17d80546_8c1c4ab7_90	0.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_91	0.2	0.0
AOJ447_pass_17d80546_8c1c4ab7_92	0.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_93	0.2	0.2
AOJ447_pass_17d80546_8c1c4ab7_94	0.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_95	0.2	0.0
AOJ447_pass_17d80546_8c1c4ab7_96	0.2	0.0
AOJ447_pass_17d80546_8c1c4ab7_97	0.2	0.4000000000000001
AOJ447_pass_17d80546_8c1c4ab7_98	0.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_99	0.2	0.0
